x,y,z,shale5Thickness,shale1Thickness,shale2Thickness,shale3Thickness,shale4Thickness,aquifer1Thickness,aquifer2Thickness,aquifer3Thickness,aquifer4Thickness,reservoirThickness
228689.9084,4350092.494,-1174.321858,462.0218576,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4350092.494,-1268.461166,556.1611664,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4350092.494,-1374.010358,661.7103584,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4350092.494,-1503.40375,791.1037496,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4350092.494,-1639.313765,927.0137648,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4350092.494,-1779.530909,1067.230909,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4350092.494,-1921.602151,1209.302151,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4365332.494,-865.1043912,152.8043912,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4365332.494,-941.8728432,229.5728432,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4365332.494,-1029.154457,316.8544568,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4365332.494,-1099.061861,386.7618608,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4365332.494,-1181.574878,469.2748784,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4365332.494,-1262.968975,550.6689752,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4365332.494,-1350.851654,638.5516544,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4365332.494,-1470.361906,758.0619056,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4365332.494,-1602.055318,889.7553176,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
