Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29,Realization 30,Realization 31,Realization 32,Realization 33,Realization 34,Realization 35,Realization 36,Realization 37,Realization 38,Realization 39,Realization 40,Realization 41,Realization 42,Realization 43,Realization 44,Realization 45,Realization 46,Realization 47,Realization 48,Realization 49
FutureGen2Aquifer1_000.TDS_volume_10,3.652500000000e+03,4.682067600860e+05,3.080928123849e+05,7.232896788534e+05,6.061662224811e+05,2.459361031654e+05,6.352716048824e+05,5.580428167010e+05,7.647910949555e+05,6.970392965606e+05,8.384984509641e+05,7.126079389342e+05,4.539996521804e+05,7.290021591737e+05,5.890594708135e+05,8.473582065583e+05,5.252378162176e+05,5.802818430326e+05,8.415403655288e+05,5.588088298237e+05,5.248644102485e+05,6.316019682845e+05,7.889299915615e+05,8.784882232330e+05,1.025780201562e+06,7.963130297738e+05,4.043814430832e+05,5.330322269281e+05,1.031381909905e+06,6.637125691708e+05,6.935666870937e+05,3.831380870474e+05,4.475176390102e+05,9.513694216791e+05,3.938621540769e+05,1.064384848466e+06,8.167365579583e+05,4.708639492651e+05,4.466577526845e+05,8.010887968850e+05,7.588028326648e+05,1.255079906177e+06,4.827209415412e+05,5.636362812990e+05,7.568492844029e+05,3.786834956222e+05,1.096784215009e+06,3.401932153929e+05,5.243377622805e+05,7.697304255439e+05,2.920500698381e+05
FutureGen2Aquifer1_000.TDS_volume_11,4.017750000000e+03,5.024496861463e+05,3.304180832297e+05,7.757334445642e+05,6.504424282172e+05,2.638238287611e+05,6.809848628629e+05,5.985169606947e+05,8.198837612320e+05,7.465037531857e+05,8.984682475331e+05,7.638169414273e+05,4.869036647298e+05,7.819408601535e+05,6.319291643555e+05,9.088590490975e+05,5.635919306657e+05,6.223617112175e+05,9.014810242599e+05,5.994800651790e+05,5.632114139969e+05,6.775345383472e+05,8.452411824566e+05,9.414848304941e+05,1.099096167379e+06,8.536541111449e+05,4.337177907679e+05,5.716834090300e+05,1.104705499192e+06,7.119588211001e+05,7.432653730230e+05,4.108776988360e+05,4.802440807491e+05,1.020211244171e+06,4.227926639339e+05,1.140808697805e+06,8.754454571673e+05,5.043414649454e+05,4.788560740555e+05,8.588968211565e+05,8.128427147017e+05,1.344995484368e+06,5.173800217421e+05,6.045636155008e+05,8.110658603084e+05,4.059466136926e+05,1.175246743814e+06,3.647557287332e+05,5.627385038720e+05,8.248360916345e+05,3.135038033452e+05
FutureGen2Aquifer1_000.TDS_volume_12,4.383000000000e+03,5.358932740481e+05,3.522091344699e+05,8.269243213273e+05,6.936814954264e+05,2.812877258207e+05,7.255842125348e+05,6.380249261194e+05,8.736376883072e+05,7.947200954521e+05,9.569538936029e+05,8.137737908523e+05,5.190206950446e+05,8.336199467144e+05,6.737847309382e+05,9.688944916257e+05,6.010469386066e+05,6.634366131126e+05,9.599229723221e+05,6.391893750022e+05,6.006607584878e+05,7.223784256404e+05,9.001517248940e+05,1.002932776441e+06,1.170594685956e+06,9.096004206332e+05,4.623542807685e+05,6.094113632668e+05,1.176187169735e+06,7.590601912895e+05,7.917399878475e+05,4.379520436201e+05,5.122063701124e+05,1.087399656261e+06,4.510558196807e+05,1.215359830212e+06,9.327198847559e+05,5.369781697509e+05,5.102734100606e+05,9.153064375125e+05,8.655309533099e+05,1.432695257469e+06,5.511897549888e+05,6.445169525144e+05,8.639460482905e+05,4.325462520889e+05,1.251768704991e+06,3.887249098333e+05,6.002462010358e+05,8.785813599225e+05,3.344627585001e+05
FutureGen2Aquifer1_000.TDS_volume_13,4.748250000000e+03,5.686207145037e+05,3.735218402401e+05,8.769933062803e+05,7.359914378519e+05,2.983720349280e+05,7.691865877246e+05,6.766677169482e+05,9.261933323085e+05,8.418202964830e+05,1.014111687488e+06,8.626100266242e+05,5.504330458557e+05,8.841710123740e+05,7.147319946612e+05,1.027617669547e+06,6.376964925268e+05,7.036116171485e+05,1.017024377798e+06,6.780371321227e+05,6.373059190685e+05,7.662472779853e+05,9.538092776778e+05,1.062994928072e+06,1.240467221150e+06,9.642983230448e+05,4.903640666151e+05,6.463126154652e+05,1.246021500490e+06,8.051362226111e+05,8.391193128293e+05,4.644307332314e+05,5.434840402647e+05,1.153107717476e+06,4.787209138868e+05,1.288235062332e+06,9.887105098467e+05,5.688628828246e+05,5.409916686556e+05,9.704642278489e+05,9.170102060450e+05,1.518412370437e+06,5.842394060111e+05,6.835980508151e+05,9.156304687761e+05,4.585520421779e+05,1.326554435743e+06,4.121629340604e+05,6.369537283227e+05,9.311094227861e+05,3.549783068824e+05
FutureGen2Aquifer1_000.TDS_volume_14,5.113500000000e+03,6.007008390216e+05,3.944024048381e+05,9.260487295651e+05,7.774616185682e+05,3.151133483324e+05,8.118886449943e+05,7.145288614788e+05,9.776668005710e+05,8.879133547518e+05,1.070070777470e+06,9.104343694584e+05,5.812087769354e+05,9.337028903865e+05,7.548584878314e+05,1.085155228124e+06,6.736180726765e+05,7.429736119563e+05,1.072915902361e+06,7.161063602107e+05,6.732242318840e+05,8.092350950025e+05,1.006335835855e+06,1.121805882392e+06,1.308871972162e+06,1.017868807301e+06,5.178076457067e+05,6.824669894767e+05,1.314369214066e+06,8.502857879197e+05,8.855097710400e+05,4.903713292292e+05,5.741428960736e+05,1.217478524844e+06,5.058452937792e+05,1.359597060090e+06,1.043541866497e+06,6.000689692885e+05,5.710785614740e+05,1.024491375877e+06,9.673983204567e+05,1.602339488637e+06,6.166027506369e+05,7.218910685013e+05,9.662353264438e+05,4.840215423867e+05,1.399772781119e+06,4.351212053642e+05,6.729379359377e+05,9.825386060269e+05,3.750929643257e+05
FutureGen2Aquifer1_000.TDS_volume_15,5.478750000000e+03,6.321914440117e+05,4.148896052399e+05,9.741815103755e+05,8.181670686107e+05,3.315423823973e+05,8.537714723584e+05,7.516784643832e+05,1.028155504675e+06,9.330906431546e+05,1.124939473764e+06,9.573380216067e+05,6.114050080446e+05,9.823069298773e+05,7.942376894732e+05,1.141613463875e+06,7.088767320138e+05,7.815955218194e+05,1.127707101020e+06,7.534667538054e+05,7.084806307923e+05,8.514207815567e+05,1.057833699397e+06,1.179478535459e+06,1.375941608012e+06,1.070413378369e+06,5.447357937284e+05,7.179414800028e+05,1.381365056660e+06,8.945918807119e+05,9.310006234304e+05,5.158221379138e+05,6.042381922262e+05,1.280632163314e+06,5.324771242335e+05,1.429582272349e+06,1.097318423912e+06,6.306579370546e+05,6.005908993324e+05,1.077489561846e+06,1.016794106629e+06,1.684638205725e+06,6.483416740798e+05,7.594666433514e+05,1.015858084802e+06,5.090030414749e+05,1.471565344991e+06,4.576428559788e+05,7.082633583385e+05,1.032968148892e+06,3.948424392455e+05
FutureGen2Aquifer1_000.TDS_volume_16,5.844000000000e+03,6.631416753722e+05,4.350163989597e+05,1.021468925616e+06,8.581715847710e+05,3.476852486914e+05,8.949039640688e+05,7.881761121309e+05,1.077742212279e+06,9.774297398004e+05,1.178809770829e+06,1.003398465306e+06,6.410702871330e+05,1.030060779225e+06,8.329320650298e+05,1.197082728279e+06,7.435277824461e+05,8.195393292317e+05,1.181491006291e+06,7.901775613407e+05,7.431303279268e+05,8.928714131836e+05,1.108389749093e+06,1.236108789597e+06,1.441788808840e+06,1.122018280231e+06,5.711916687305e+05,7.527930294740e+05,1.447123441913e+06,9.381250505808e+05,9.756676920391e+05,5.408242142250e+05,6.338169130739e+05,1.342670688739e+06,5.586573703211e+05,1.498306616347e+06,1.150128936775e+06,6.606820129856e+05,6.295769543864e+05,1.129545188015e+06,1.065281472051e+06,1.765445784727e+06,6.795087495512e+05,7.963848185188e+05,1.064581532202e+06,5.335375677242e+05,1.542052401700e+06,4.797645383190e+05,7.429848748465e+05,1.082482345499e+06,4.142571023964e+05
FutureGen2Aquifer1_000.TDS_volume_17,6.209250000000e+03,6.935937812095e+05,4.548111052924e+05,1.067977378700e+06,8.975300063906e+05,3.635643879986e+05,9.353452990698e+05,8.240730076103e+05,1.126498022962e+06,1.020997239359e+06,1.231760667536e+06,1.048682252179e+06,6.702463301970e+05,1.077031165901e+06,8.709953000335e+05,1.251640663308e+06,7.776187691146e+05,8.568582955588e+05,1.234347493074e+06,8.262897036949e+05,7.772207838609e+05,9.336446355411e+05,1.158078585480e+06,1.291779009768e+06,1.506510334044e+06,1.172757597360e+06,5.972123570212e+05,7.870705682044e+05,1.511742593206e+06,9.809459275480e+05,1.019576093741e+06,5.654128338769e+05,6.629194483582e+05,1.403681788451e+06,5.844212548527e+05,1.565869652631e+06,1.202049639970e+06,6.901860336725e+05,6.580781950663e+05,1.180732482304e+06,1.112932456676e+06,1.844880107586e+06,7.101491317877e+05,8.326971921773e+05,1.112476767236e+06,5.576603645315e+05,1.611337236283e+06,5.015177411857e+05,7.771496653917e+05,1.131153585517e+06,4.333630674227e+05
FutureGen2Aquifer1_000.TDS_volume_18,6.574500000000e+03,7.235844274222e+05,4.742982915517e+05,1.113764476933e+06,9.362899242039e+05,3.791992711932e+05,9.751467998588e+05,8.594135717188e+05,1.174484600249e+06,1.063850860201e+06,1.283860656599e+06,1.093247095172e+06,6.989693266341e+05,1.123275982282e+06,9.084739762875e+05,1.305354629102e+06,8.111909521702e+05,8.935986271685e+05,1.286345801107e+06,8.618473639884e+05,8.107931863283e+05,9.737904649330e+05,1.206964882148e+06,1.346560615456e+06,1.570190072438e+06,1.222695580919e+06,6.228300330505e+05,8.208165450876e+05,1.575307648643e+06,1.023107116254e+06,1.062782290168e+06,5.896185977958e+05,6.915808509950e+05,1.463741527449e+06,6.097993526334e+05,1.632357715972e+06,1.253146644527e+06,7.192088627228e+05,6.861305874040e+05,1.231115826371e+06,1.159809508118e+06,1.923043386582e+06,7.403019770611e+05,8.684485304729e+05,1.159605437338e+06,5.814019971432e+05,1.679509398780e+06,5.229297770882e+05,8.107986785830e+05,1.179044634138e+06,4.521830020883e+05
FutureGen2Aquifer1_000.TDS_volume_19,6.939750000000e+03,7.531457033771e+05,4.934994502571e+05,1.158880618907e+06,9.744929865611e+05,3.946069348788e+05,1.014353352422e+06,8.942366672103e+05,1.221755876678e+06,1.106041052988e+06,1.335169625662e+06,1.137143466435e+06,7.272709366920e+05,1.168845879606e+06,9.454088529089e+05,1.358283559131e+06,8.442804394117e+05,9.298007485868e+05,1.337546460933e+06,8.968892026122e+05,8.438835805544e+05,1.013352664337e+06,1.255105182725e+06,1.400516060234e+06,1.632901371482e+06,1.271888425756e+06,6.480728457395e+05,8.540680972576e+05,1.637893031572e+06,1.064654643539e+06,1.105335653299e+06,6.134682760043e+05,7.198317985628e+05,1.522916446672e+06,6.348184271123e+05,1.697846306746e+06,1.303477767737e+06,7.477844728111e+05,7.137655891624e+05,1.280751534197e+06,1.205967218810e+06,2.000024998826e+06,7.700015277805e+05,9.036780001181e+05,1.206021448436e+06,6.047891980784e+05,1.746647189455e+06,5.440245365494e+05,8.439677540201e+05,1.226210373303e+06,4.707367485322e+05
FutureGen2Aquifer1_000.TDS_volume_20,7.305000000000e+03,7.823059031306e+05,5.124335249744e+05,1.203370227163e+06,1.012175914062e+06,4.098023973811e+05,1.053004508502e+06,9.285765490573e+05,1.268359377466e+06,1.147612248670e+06,1.385740332698e+06,1.180415837653e+06,7.551790659997e+05,1.213785505799e+06,9.818358612501e+05,1.410479400827e+06,8.769190660759e+05,9.655002911436e+05,1.388002788344e+06,9.314493008811e+05,8.765237472725e+05,1.052369812062e+06,1.302549295364e+06,1.453700368233e+06,1.694708844899e+06,1.320385649869e+06,6.729656067556e+05,8.868579583654e+05,1.699564289856e+06,1.105629082657e+06,1.147279680580e+06,6.369854628790e+05,7.476993401958e+05,1.581265192223e+06,6.595020804233e+05,1.762401947145e+06,1.353093953771e+06,7.759427852297e+05,7.410109216152e+05,1.329689232924e+06,1.251453673948e+06,2.075903686221e+06,7.992779543677e+05,9.384201255938e+05,1.251772291880e+06,6.278455234283e+05,1.812819587554e+06,5.648230737393e+05,8.766884941706e+05,1.272699153070e+06,4.890418051815e+05
FutureGen2Aquifer1_000.TDS_volume_21,7.670250000000e+03,8.110901409941e+05,5.311173244992e+05,1.247272719127e+06,1.049371298996e+06,4.247989864572e+05,1.091135353565e+06,9.624636130410e+05,1.314337262867e+06,1.188603840659e+06,1.435619567522e+06,1.223103656684e+06,7.827184756393e+05,1.258134480548e+06,1.017786888694e+06,1.461988250398e+06,9.091350880255e+05,1.000728871712e+06,1.437762060696e+06,9.655579044426e+05,9.087418945296e+05,1.090876143610e+06,1.349341390463e+06,1.506162343863e+06,1.755669795698e+06,1.368231180698e+06,6.975303326630e+05,9.192151740106e+05,1.760379543489e+06,1.146066438875e+06,1.188652951595e+06,6.601910932535e+05,7.752074850967e+05,1.638839798574e+06,6.838712656744e+05,1.826083642712e+06,1.402040392279e+06,8.037103306721e+05,7.678911773210e+05,1.377972950312e+06,1.296311512478e+06,2.150749287484e+06,8.281580181258e+05,9.727055431612e+05,1.296900089123e+06,6.505918696621e+05,1.878087769737e+06,5.853440676893e+05,9.089889514049e+05,1.318553855544e+06,5.071137065426e+05
FutureGen2Aquifer1_000.TDS_volume_22,8.035500000000e+03,8.395208427726e+05,5.495658532714e+05,1.290623281693e+06,1.086108243293e+06,4.396086007632e+05,1.128777199045e+06,9.959249929589e+05,1.359727159520e+06,1.229050967758e+06,1.484849077927e+06,1.265242126420e+06,8.099112688341e+05,1.301928173222e+06,1.053290404027e+06,1.512851258171e+06,9.409537349009e+05,1.035514713965e+06,1.486866454712e+06,9.992420164292e+05,9.405632097461e+05,1.128902223361e+06,1.395520875880e+06,1.557945536483e+06,1.815835350790e+06,1.415464221501e+06,7.217866774434e+05,9.511656724926e+05,1.820390638612e+06,1.185998856052e+06,1.229489890940e+06,6.831038541268e+05,8.023776721858e+05,1.695686712183e+06,7.079446958377e+05,1.888944047870e+06,1.450357410493e+06,8.311107759978e+05,7.944283048799e+05,1.425641982114e+06,1.340578772948e+06,2.224624119292e+06,8.566655998608e+05,1.006561602422e+06,1.341442424765e+06,6.730468858094e+05,1.942506320821e+06,6.056041901750e+05,9.408941762988e+05,1.363812743217e+06,5.249663263373e+05
FutureGen2Aquifer1_000.TDS_volume_23,8.400750000000e+03,8.676181422891e+05,5.677925779942e+05,1.333453496272e+06,1.122412873441e+06,4.542419208653e+05,1.165958140787e+06,1.028985042541e+06,1.404562831150e+06,1.268985145449e+06,1.533466316659e+06,1.306862833089e+06,8.367772836702e+05,1.345198330654e+06,1.088371962148e+06,1.563105359181e+06,9.723976565943e+05,1.069883149692e+06,1.535353802747e+06,1.032525876163e+06,9.720103053171e+05,1.166475486639e+06,1.441123102782e+06,1.609089018526e+06,1.875251376100e+06,1.462119950297e+06,7.457522815192e+05,9.827327253720e+05,1.879644078081e+06,1.225455186854e+06,1.269821383546e+06,7.057405168686e+05,8.292291491961e+05,1.751847617437e+06,7.317391738527e+05,1.951030406111e+06,1.498081192871e+06,8.581653490044e+05,8.206420000223e+05,1.472731591877e+06,1.384289575630e+06,2.297584090289e+06,8.848221262969e+05,1.040012851766e+06,1.385433018468e+06,6.952273059812e+05,2.006124210313e+06,6.256184025312e+05,9.724266602404e+05,1.408510143241e+06,5.426121222301e+05
